model_group,config_id,variant,label,status,model,precision,framework,image,commit,workflow_run_id,workflow_attempt,isl,osl,conc,tp,ep,dp_attention,num_prompts,total_token_throughput,output_throughput,tput_per_gpu,output_tput_per_gpu,input_tput_per_gpu,mean_ttft_ms,mean_tpot_ms,mean_itl_ms,expected_dashboard_tput_per_gpu
dsv4,8k1k_c8,old,dsv4_8k1k_c8_old,success,deepseek-ai/DeepSeek-V4-Pro,fp4,sglang,rocm/sgl-dev:rocm720-mi35x-583b1b6-20260501-DSv4,f93f91dfb0efbc46e363dbcdf96e983ea96d214d,25262278289,1,8192,1024,8,8,1,false,24,832.3530761595707,94.19606040710077,104.04413451994634,11.774507550887597,92.26962696905875,6143.486601456364,75.46146979474437,75.54732097977768,115.801807
dsv4,8k1k_c8,new,dsv4_8k1k_c8_new,success,deepseek-ai/DeepSeek-V4-Pro,fp4,sglang,lmsysorg/sglang-rocm:v0.5.13-rocm720-mi35x-20260612,8d206016537a519824e527f7524ca52d17303512,27475314602,3,8192,1024,8,8,1,false,24,3375.862133528647,382.0408941396716,421.9827666910809,47.75511176745895,374.2276549236219,1310.0382660413743,18.63515976152924,18.66122337837187,483.774241
dsv4,1k1k_c1,old,dsv4_1k1k_c1_old,success,deepseek-ai/DeepSeek-V4-Pro,fp4,sglang,rocm/sgl-dev:rocm720-mi35x-583b1b6-20260501-DSv4,f93f91dfb0efbc46e363dbcdf96e983ea96d214d,25262278289,1,1024,1024,1,8,1,false,3,43.60252490249739,22.252270335057837,5.450315612812174,2.7815337918822296,2.6687818209299445,601.9286626736479,44.36381158089,44.36403881155197,
dsv4,1k1k_c1,new,dsv4_1k1k_c1_new,success,deepseek-ai/DeepSeek-V4-Pro,fp4,sglang,lmsysorg/sglang-rocm:v0.5.13-rocm720-mi35x-20260612,8d206016537a519824e527f7524ca52d17303512,27475314602,3,1024,1024,1,8,1,false,3,139.89835172855783,71.39623104520193,17.48729396606973,8.924528880650241,8.562765085419487,310.7642616572169,13.699730470228605,13.699650801585728,
dsv4,1k1k_c2,old,dsv4_1k1k_c2_old,success,deepseek-ai/DeepSeek-V4-Pro,fp4,sglang,rocm/sgl-dev:rocm720-mi35x-583b1b6-20260501-DSv4,f93f91dfb0efbc46e363dbcdf96e983ea96d214d,25262278289,1,1024,1024,2,8,1,false,6,85.28126020619484,40.832767130890076,10.660157525774355,5.1040958913612595,5.556061634413096,899.2299564997666,47.2224996463585,47.22588849235491,
dsv4,1k1k_c2,new,dsv4_1k1k_c2_new,success,deepseek-ai/DeepSeek-V4-Pro,fp4,sglang,lmsysorg/sglang-rocm:v0.5.13-rocm720-mi35x-20260612,8d206016537a519824e527f7524ca52d17303512,27475314602,3,1024,1024,2,8,1,false,6,271.92115606998993,130.19616756275104,33.99014450874874,16.27452094534388,17.71562356340486,411.94250332773663,14.664272426413312,14.665032167747539,
dsv4,1k1k_c3,old,dsv4_1k1k_c3_old,success,deepseek-ai/DeepSeek-V4-Pro,fp4,sglang,rocm/sgl-dev:rocm720-mi35x-583b1b6-20260501-DSv4,f93f91dfb0efbc46e363dbcdf96e983ea96d214d,25262278289,1,1024,1024,3,8,1,false,9,111.48802179212946,55.320758672168225,13.936002724016182,6.915094834021028,7.020907889995154,938.3417899985538,52.38781727387025,52.38783002622251,
dsv4,1k1k_c3,new,dsv4_1k1k_c3_new,success,deepseek-ai/DeepSeek-V4-Pro,fp4,sglang,lmsysorg/sglang-rocm:v0.5.13-rocm720-mi35x-20260612,8d206016537a519824e527f7524ca52d17303512,27475314602,3,1024,1024,3,8,1,false,9,388.316155623424,192.6838775003189,48.539519452928,24.085484687539864,24.454034765388133,340.71715178369135,14.927581757657162,14.933150197055726,
dsv4,1k1k_c4,old,dsv4_1k1k_c4_old,success,deepseek-ai/DeepSeek-V4-Pro,fp4,sglang,rocm/sgl-dev:rocm720-mi35x-583b1b6-20260501-DSv4,f93f91dfb0efbc46e363dbcdf96e983ea96d214d,25262278289,1,1024,1024,4,8,1,false,12,144.51834063168423,72.58452883957287,18.064792578960528,9.073066104946609,8.99172647401392,969.7464204121692,52.5919074384098,52.60802470890891,
dsv4,1k1k_c4,new,dsv4_1k1k_c4_new,success,deepseek-ai/DeepSeek-V4-Pro,fp4,sglang,lmsysorg/sglang-rocm:v0.5.13-rocm720-mi35x-20260612,8d206016537a519824e527f7524ca52d17303512,27475314602,3,1024,1024,4,8,1,false,12,492.9713624276613,247.59552259465428,61.62142030345766,30.949440324331785,30.671979979125876,614.1573029162828,15.028215349865983,15.036132815160466,
dsv4,1k1k_c8,old,dsv4_1k1k_c8_old,success,deepseek-ai/DeepSeek-V4-Pro,fp4,sglang,rocm/sgl-dev:rocm720-mi35x-583b1b6-20260501-DSv4,f93f91dfb0efbc46e363dbcdf96e983ea96d214d,25262278289,1,1024,1024,8,8,1,false,24,222.65632520555727,112.47324082090269,27.83204065069466,14.059155102612836,13.772885548081822,1369.3418979128182,65.80465946179447,65.8055314444703,
dsv4,1k1k_c8,new,dsv4_1k1k_c8_new,success,deepseek-ai/DeepSeek-V4-Pro,fp4,sglang,lmsysorg/sglang-rocm:v0.5.13-rocm720-mi35x-20260612,8d206016537a519824e527f7524ca52d17303512,27475314602,3,1024,1024,8,8,1,false,24,867.7657627340446,438.3456320767684,108.47072034175558,54.79320400959605,53.67751633215953,490.795190003458,16.579490013770645,16.581110634170052,
dsv4,1k512_c1,old,dsv4_1k512_c1_old,success,deepseek-ai/DeepSeek-V4-Pro,fp4,sglang,rocm/sgl-dev:rocm720-mi35x-583b1b6-20260501-DSv4,f93f91dfb0efbc46e363dbcdf96e983ea96d214d,25262278289,1,1024,512,1,8,1,false,3,65.13626062323543,22.005493453795754,8.142032577904429,2.7506866817244693,5.39134589617996,601.5843016696939,44.268957774257075,44.26896221516261,
dsv4,1k512_c1,new,dsv4_1k512_c1_new,success,deepseek-ai/DeepSeek-V4-Pro,fp4,sglang,lmsysorg/sglang-rocm:v0.5.13-rocm720-mi35x-20260612,8d206016537a519824e527f7524ca52d17303512,27475314602,3,1024,512,1,8,1,false,3,206.97782559233718,69.9249410784923,25.872228199042148,8.740617634811537,17.131610564230613,312.25728133964975,13.671498413389186,13.671491806626708,
