model_group,config_id,isl,osl,conc,num_prompts,old_label,new_label,old_status,new_status,old_tput_per_gpu,new_tput_per_gpu,measured_gain_x,measured_improvement_pct
kimi_fp4,1k1k_c4,1024,1024,4,12,kimi_fp4_1k1k_c4_old,kimi_fp4_1k1k_c4_new,success,success,4.862378483165183,86.45177350685672,17.779729366229965,1677.9729366229965
kimi_fp4,1k1k_c8,1024,1024,8,24,kimi_fp4_1k1k_c8_old,kimi_fp4_1k1k_c8_new,success,success,13.01283337903566,137.0824217747059,10.534402292090567,953.4402292090567
kimi_fp4,8k1k_c128,8192,1024,128,384,kimi_fp4_8k1k_c128_old,kimi_fp4_8k1k_c128_new,success,success,563.8243432548653,2239.961587087572,3.9728004189330344,297.28004189330346
kimi_fp4,8k1k_c16,8192,1024,16,48,kimi_fp4_8k1k_c16_old,kimi_fp4_8k1k_c16_new,success,success,99.92525250690527,974.0037503494592,9.747323383367496,874.7323383367495
kimi_fp4,8k1k_c256,8192,1024,256,768,kimi_fp4_8k1k_c256_old,kimi_fp4_8k1k_c256_new,success,success,813.2073302002395,2504.371341964847,3.079622193454878,207.9622193454878
kimi_fp4,8k1k_c32,8192,1024,32,96,kimi_fp4_8k1k_c32_old,kimi_fp4_8k1k_c32_new,success,success,168.79380217036956,1398.1374538480386,8.283108952287531,728.3108952287531
kimi_fp4,8k1k_c4,8192,1024,4,12,kimi_fp4_8k1k_c4_old,kimi_fp4_8k1k_c4_new,success,success,28.899056373057817,379.2563113469612,13.123484256757134,1212.3484256757133
kimi_fp4,8k1k_c64,8192,1024,64,192,kimi_fp4_8k1k_c64_old,kimi_fp4_8k1k_c64_new,success,success,220.8654216369813,921.1449768181567,4.17061652290764,317.06165229076396
kimi_fp4,8k1k_c8,8192,1024,8,24,kimi_fp4_8k1k_c8_old,kimi_fp4_8k1k_c8_new,success,success,48.10074164778662,564.453758797245,11.734824442633487,1073.4824442633487
kimi_fp4,GEOMEAN,,,,,,,9 configs,9 configs,,,7.892505408678498,689.2505408678498
